gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
006304,01,000208,1995-02-27,2016-02-25,Nasdaq 100,LGCAP,I0028,,,EXCHG,KLA CORP,KLAC,482480100,0000319201,3827,333314
014324,01,000208,1995-07-19,2015-10-06,Nasdaq 100,LGCAP,I0028,,,EXCHG,ALTERA CORP,ALTR.1,021441100,0000768251,3674,334413
007672,01,000208,1995-08-18,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,NORTHWEST AIRLINES CORP,NWA,667280101,0001058033,4512,481111
025944,01,000208,1995-12-18,2004-12-28,Nasdaq 100,LGCAP,I0028,,,EXCHG,PEOPLESOFT INC,PSFT.,712713106,0000875570,7372,511210
014256,01,000208,1995-12-18,2007-10-02,Nasdaq 100,LGCAP,I0028,,,EXCHG,MAXIM INTEGRATED PRODUCTS,MXIM,57772K101,0000743316,3674,334413
025434,01,000208,1996-11-25,,Nasdaq 100,LGCAP,I0028,,,EXCHG,STARBUCKS CORP,SBUX,855244109,0000829224,5812,722513
024975,01,000208,1996-12-23,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,SYNOPSYS INC,SNPS,871607107,0000883241,7372,511210
025783,01,000208,1996-12-23,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,MCAFEE INC,MFE,579064106,0000890801,7372,511210
030095,01,000208,1996-12-23,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,QUINTILES TRANSNATIONAL CORP,0573B,748767100,0000919623,8731,541710
003373,01,000208,1996-12-23,2002-11-06,Nasdaq 100,LGCAP,I0028,,,EXCHG,CONCORD EFS INC,CE.2,206197105,0000740112,6099,522320
025338,01,000208,1996-12-23,2016-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,BED BATH & BEYOND INC,BBBYQ,075896100,0000886158,5700,449129
012635,01,000208,1996-12-23,2023-06-06,Nasdaq 100,LGCAP,I0028,,,EXCHG,FISERV INC,FI,337738108,0000798354,7389,522320
027965,01,000208,1997-06-04,2013-12-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICROCHIP TECHNOLOGY INC,MCHP,595017104,0000827054,3674,334413
007401,01,000208,1997-06-12,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,MILLERKNOLL INC,MLKN,600544100,0000066382,2520,3372
006242,03,000208,1997-07-24,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,SMURFIT-STONE CONTAINER CORP,SSCC.,832727101,0000094610,2631,322130
061340,01,000208,1997-10-15,2004-08-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,PANAMSAT CORP,SPOT.1,697933109,0001037388,4899,517410
031122,01,000208,1998-01-07,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,APOLLO EDUCATION GROUP INC,APOL,037604105,0000929887,8200,611310
005885,01,000208,1998-01-07,2002-07-14,Nasdaq 100,LGCAP,I0028,,,EXCHG,IMMUNEX CORP,IMNX,452528102,,2836,325414
004439,90,000208,1998-01-07,2003-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,TELEFONAKTIEBOLAGET LM ERICS,ERIC,294821608,0000717826,3663,334220
